Category,ID,Priority,Effort,Task,Details,Files,Status
Quick Win,QW1,Critical,5min,Fix repo URL in pyproject.toml,Update repository URL from 'welshDog/hypercode' to 'welshDog/THE-HYPERCODE',pyproject.toml,⬜ TODO
Quick Win,QW2,Critical,10min,Clarify code vs docs license,"Update README and LICENSE: docs = CC-BY 4.0, code = MIT or Apache-2.0","README.md, LICENSE, pyproject.toml",⬜ TODO
Quick Win,QW3,High,15min,Restrict CLI backend choices,Change --backend to only ['qiskit'] or add explicit 'Not implemented' stubs for classical/molecular,"hypercode/cli.py, hypercode/backends/__init__.py",⬜ TODO
Quick Win,QW4,High,30min,Add minimal classical example,Create examples/classical_filter_positive.hc and reference in README Quick Start,"examples/classical/filter_positive.hc, README.md",⬜ TODO
Quick Win,QW5,Medium,20min,Add coverage badge to README,"Run tests, generate coverage, add badge even if coverage is low","README.md, .github/workflows/test.yml",⬜ TODO
PR Roadmap,PR1,High,Medium (2-4hrs),Backend choices + registry alignment,Restrict CLI --backend choices to ['qiskit'] only | OR add ClassicalBackend/MolecularBackend stubs that raise NotImplementedError | Update backend registry to clearly show available vs planned | Add tests for backend selection logic,"hypercode/cli.py, hypercode/backends/__init__.py, hypercode/backends/classical_backend.py, tests/test_backend_registry.py",⬜ TODO
PR Roadmap,PR2,High,Medium (3-5hrs),Structured error types and ExecutionResult,"Define HyperCodeError base class | Create subclasses: HyperCodeParseError, HyperCodeRuntimeError, HyperCodeBackendError | Add error location info (line, column, file) | Update api.execute to catch specific errors | Update ExecutionResult to carry error type + structured info | Update CLI to display structured errors nicely","hypercode/errors.py, hypercode/api.py, hypercode/results.py, hypercode/cli.py, tests/test_errors.py",⬜ TODO
PR Roadmap,PR3,High,Medium (4-6hrs),Minimal classical backend implementation,"Implement classical_backend.py with basic interpreter | Support core subset: variables, conditionals, loops, functions | Add 3-5 classical examples (filter, map, factorial, fibonacci) | Add tests for classical backend execution | Update README with classical examples","hypercode/backends/classical_backend.py, examples/classical/*.hc, tests/test_classical_backend.py, README.md",⬜ TODO
PR Roadmap,PR4,High,Medium (3-4hrs),IR spec and centralization,Create docs/source/ir_spec.md documenting IR design | Add docstrings to all qir_nodes classes | Document SSA invariants and type system | Add type checking for IR nodes | Create examples of AST → IR → Backend flow,"docs/source/ir_spec.md, hypercode/ir/qir_nodes.py, hypercode/ir/__init__.py, tests/test_ir_invariants.py",⬜ TODO
PR Roadmap,PR5,High,Small (2-3hrs),README overhaul + repo URL fix,Implement new README structure (see Bud's outline) | Add Quick Start with install + run example | Add 'Using as a library' section with code example | Add 'For Contributors' section with starter tasks | Fix all repo URLs to THE-HYPERCODE | Add status/maturity table,"README.md, pyproject.toml",⬜ TODO
PR Roadmap,PR6,Medium,Medium (3-4hrs),CLI tests and --no-color support,"Add tests for 'hypercode parse' command | Add tests for 'hypercode qir' command | Add tests for 'hypercode run' command | Add tests for 'hypercode version' command | Test error paths (file not found, parse errors, unknown backend) | Add --no-color flag | Add TTY detection for color output","tests/test_cli.py, hypercode/cli.py",⬜ TODO
PR Roadmap,PR7,Medium,Medium (2-3hrs),Engine abstraction for CLI/API,"Create hypercode/engine.py module | Implement run_program(code, backend, shots, seed) function | Refactor CLI to use engine | Refactor API to use engine | Add tests for engine module","hypercode/engine.py, hypercode/cli.py, hypercode/api.py, tests/test_engine.py",⬜ TODO
PR Roadmap,PR8,Medium,Medium (2-3hrs),Quantum resource limits,"Create hypercode/config.py with limit constants | Add MAX_QUBITS, MAX_DEPTH, MAX_SHOTS config | Enforce limits in Evaluator | Enforce limits in QiskitBackend | Add env var support for config overrides | Add tests for resource limit enforcement","hypercode/config.py, hypercode/evaluator.py, hypercode/backends/qiskit_backend.py, tests/test_resource_limits.py",⬜ TODO
PR Roadmap,PR9,Medium,Small (1-2hrs),Coverage reporting + badge,"Configure pytest to output coverage.xml | Create GitHub Actions workflow for tests | Upload coverage to Codecov or similar | Add coverage badge to README | Set coverage target (e.g., >70%)","pytest.ini, .github/workflows/test.yml, README.md",⬜ TODO
PR Roadmap,PR10,Medium,Large (4-6hrs),Sphinx docs site,Organize docs into User Guide / Language Reference / Compiler Internals / Research | Create index.rst with clear navigation | Build docs site with Sphinx | Add 'Getting Started' guide | Add 'Language Reference' section | Deploy to ReadTheDocs or GitHub Pages,"docs/source/index.rst, docs/source/user_guide/*, docs/source/language_ref/*, docs/source/compiler/*, .readthedocs.yml",⬜ TODO
Critical,SEC1,High,1hr,Add dependency pinning,Create requirements-dev.txt with locked versions for CI; run pip-audit periodically,"requirements-dev.txt, .github/workflows/security.yml",⬜ TODO
Critical,SEC2,High,2hrs,Verify no eval/exec in Evaluator,Audit Evaluator and backends to ensure no string-based code execution; add security tests,"hypercode/interpreter/evaluator.py, hypercode/backends/*, tests/test_security.py",⬜ TODO
Critical,DOC1,Medium,1hr,Add CONTRIBUTING.md,"Create contributor guide with setup, code style, PR process, good first issues",docs/CONTRIBUTING.md,⬜ TODO
Critical,DOC2,Medium,30min,Add VERSIONING.md,Document SemVer policy and breaking-change process,docs/VERSIONING.md,⬜ TODO
